id,name,park,land,cuisine,type,reservations,status,latitude,longitude
wetzels-pretzels-cart,Wetzel’s Pretzels Cart,downtown,Downtown Disney District,Pretzels,Quick Service,FALSE,operating,33.808711199351,-117.921657842531
keylas-cake,Kayla’s Cake,downtown,Downtown Disney District,Desserts,Quick Service,FALSE,operating,33.808711199351,-117.921657842531
starbucks,Starbucks®,downtown,Downtown Disney District,"American, Bakery",Quick Service,FALSE,operating,33.8085955340418,-117.921848954171
naples-ristorante-e-bar,Naples Ristorante e Bar,downtown,Downtown Disney District,Italian,Table Service,FALSE,operating,33.8088758751104,-117.922082535066
napolini-pizzeria,Napolini Pizzeria,downtown,Downtown Disney District,Italian,Quick Service,FALSE,operating,33.8090033025663,-117.922259490289
jamba,Jamba®,downtown,Downtown Disney District,American,Snack,FALSE,operating,33.8085778901699,-117.922195786409
salt-n-straw,Salt & Straw,downtown,Downtown Disney District,Ice Cream,Snack,FALSE,operating,33.8090091838311,-117.922460039542
disney-wonerful-world-of-sweets,Disney Wonderful World of Sweets,downtown,Downtown Disney District,"American, Bakery",Snack,FALSE,operating,33.8088398141169,-117.922709454153
wetzels-pretzels,Wetzel’s Pretzels,downtown,Downtown Disney District,Pretzels,Quick Service,FALSE,operating,33.809111875526,-117.922637057385
black-tap-craft-burgers,Black Tap Craft Burgers & Shakes,downtown,Downtown Disney District,American,Table Service,FALSE,operating,33.8092376523655,-117.922722617204
ballast-point-brewing,Ballast Point® Brewing Co.,downtown,Downtown Disney District,American,Table Service,FALSE,operating,33.8092280823951,-117.922831212358
paseo,Paseo,downtown,Downtown Disney District,Mexican,Table Service,FALSE,operating,33.8089710599339,-117.922811467784
tiendita,Tiendita,downtown,Downtown Disney District,Mexican,Quick Service,FALSE,operating,33.8088986013346,-117.922984232802
centrico,Centrico,downtown,Downtown Disney District,Mexican,Table Service,FALSE,operating,33.8090906076898,-117.922951533703
crazyshake,CrazyShake™ Window by Black Tap,downtown,Downtown Disney District,American,Quick Service,FALSE,operating,33.8092584518156,-117.923063569493
splitsville,Splitsville Luxury Lanes™ - Dining,downtown,Downtown Disney District,American,Table Service,FALSE,operating,33.8094717545663,-117.923379120626
beignets-expressed,Beignets Expressed,downtown,Downtown Disney District,Cajun & Creole,Snack,FALSE,operating,33.8090291794043,-117.923481757302
jazz-kitchen,Jazz Kitchen Coastal Grill & Patio,downtown,Downtown Disney District,Cajun & Creole,Table Service,FALSE,operating,33.8089821280901,-117.923649869098
cathys-cookies,Cathy’s Cookies,downtown,Downtown Disney District,Cookies,Snack,FALSE,operating,33.8091798719222,-117.923838191747
california-churros,California Churro near Disney’s Pin Trader,downtown,Downtown Disney District,Churros,Snack,FALSE,operating,33.8091798719222,-117.923838191747
blue-ribbon-corn-dog,Blue Ribbon Corn Dog,downtown,Downtown Disney District,American,Quick Service,FALSE,operating,33.809175971811,-117.923950844525
vista-parkside-market,Vista Parkside Market,downtown,Downtown Disney District,American,Quick Service,FALSE,operating,33.8088079600262,-117.924682322212
seoul-sister,Seoul Sister,downtown,Downtown Disney District,Asian,Quick Service,FALSE,operating,33.8088079600262,-117.924682322212
parkside-market-coffee,Parkside Market Coffee,downtown,Downtown Disney District,Bakery & Sandwiches,Quick Service,FALSE,operating,33.8088079600262,-117.924682322212
ggs-chicken-shop,GG’s Chicken Shop,downtown,Downtown Disney District,American,Quick Service,FALSE,operating,33.8088079600262,-117.924682322212
din-tai-fung,Din Tai Fung,downtown,Downtown Disney District,Asian,Table Service,TRUE,operating,33.8086717189875,-117.925249231641
tangaroa-terrace,Tangaroa Terrace Tropical Bar & Grill,disneyland_hotel,Disneyland Hotel,American,Lounge,FALSE,operating,33.8085230961823,-117.926615648448
Trader-sams-mixology,Trader Sam's Mixology Seminar,disneyland_hotel,Disneyland Hotel,American,Bar,FALSE,operating,33.8083829526297,-117.926608471244
Trader-sams-enchanted-tiki-bar,Trader Sam’s Enchanted Tiki Bar,disneyland_hotel,Disneyland Hotel,American,Bar,FALSE,operating,33.8083829526297,-117.926608471244
coffee-house,The Coffee House,disneyland_hotel,Disneyland Hotel,Coffee & Snacks,Quick Service,FALSE,operating,33.808863017892,-117.927261596762
goofys-kitchen,Goofy’s Kitchen,disneyland_hotel,Disneyland Hotel,American,Table Service,TRUE,operating,33.8087901006021,-117.92734650829
broken-spell-lounge,Broken Spell Lounge,disneyland_hotel,Disneyland Hotel,American,Lounge,FALSE,operating,33.8088522667394,-117.927565974249
palm-breeze-bar,Palm Breeze Bar,disneyland_hotel,Disneyland Hotel,American,Bar,FALSE,operating,33.807981936686,-117.927531059208
sketch-pad-cafe,The Sketch Pad Cafe,pixar_place_hotel,Pixar Place Hotel,American,Quick Service,FALSE,operating,33.8061856555846,-117.924554054946
great-maple,Great Maple Modern American Eatery,pixar_place_hotel,Pixar Place Hotel,American,Table Service,FALSE,operating,33.8065314383532,-117.924361208136
napa-rose,Napa Rose,grandcalifornian,Disney's Grand Californian Hotel,American,Table Service,FALSE,operating,33.8077212164958,-117.921528402425
storytellers-cafe,Storytellers Cafe,grandcalifornian,Disney's Grand Californian Hotel,American,Table Service,FALSE,operating,33.8079457417776,-117.921835031247
hearthstone-lounge,Hearthstone Lounge,grandcalifornian,Disney's Grand Californian Hotel,American,Table Service,FALSE,operating,33.807694146032,-117.922273893749
gch-craftsman-grill,GCH Craftsman Grill,grandcalifornian,Disney's Grand Californian Hotel,American,Lounge,FALSE,operating,33.8075253535349,-117.921470909521
tiki-juice-bar,Tiki Juice Bar,disneyland,Adventureland,Drinks & Snacks,Snack,FALSE,operating,33.811743,-117.919443
