id,name,park,land,type,status,hasLL,heightRequirement,latitude,longitude
adventureland-treehouse,Adventureland Treehouse,disneyland,Adventureland,walkthrough,operating,FALSE,,33.8113682882044,-117.920570566658
indiana-jones,Indiana Jones Adventure,disneyland,Adventureland,dark_ride,operating,TRUE,46,33.8111678507525,-117.920543219206
jungle-cruise,Jungle Cruise,disneyland,Adventureland,boat_ride,operating,FALSE,,33.8114543618054,-117.920101208984
enchanted-tiki-room,Walt Disney's Enchanted Tiki Room,disneyland,Adventureland,show,operating,FALSE,,33.8116566553978,-117.919566198976
alice-in-wonderland,Alice in Wonderland,disneyland,Fantasyland,dark_ride,operating,FALSE,,33.8133446276894,-117.918292493911
casey-jr,Casey Jr. Circus Train,disneyland,Fantasyland,ride,operating,FALSE,,33.8137654204425,-117.919208015639
dumbo,Dumbo the Flying Elephant,disneyland,Fantasyland,spinner,operating,FALSE,,33.8136546201859,-117.918896348668
its-a-small-world,It's a Small World,disneyland,Fantasyland,dark_ride,operating,FALSE,,33.8143827082154,-117.917745459061
king-arthur-carrousel,King Arthur Carrousel,disneyland,Fantasyland,carousel,operating,FALSE,,33.8134876107577,-117.918928345082
mad-tea-party,Mad Tea Party,disneyland,Fantasyland,spinner,operating,FALSE,,33.8135359632817,-117.91845616206
matterhorn,Matterhorn Bobsleds,disneyland,Fantasyland,thrill,operating,TRUE,42,33.81351288594,-117.917804099787
mr-toads-wild-ride,Mr. Toad's Wild Ride,disneyland,Fantasyland,dark_ride,operating,FALSE,,33.8133733228603,-117.91876301489
peter-pans-flight,Peter Pan's Flight,disneyland,Fantasyland,dark_ride,operating,FALSE,,33.8131348562827,-117.918913796026
pinocchio,Pinocchio's Daring Journey,disneyland,Fantasyland,dark_ride,operating,FALSE,,33.8133095853153,-117.919128063953
snow-white,Snow White's Enchanted Wish,disneyland,Fantasyland,dark_ride,operating,FALSE,,33.81317277692,-117.919056215047
storybook-canal-boats,Storybook Land Canal Boats,disneyland,Fantasyland,boat_ride,operating,FALSE,,33.8137850679436,-117.918134811934
astro-orbitor,Astro Orbitor,disneyland,Tomorrowland,spinner,operating,FALSE,,33.8121080416584,-117.918207716057
