id,name,park,land,type,status,latitude,longitude,,
emporium,Emporium,disneyland,Main Street U.S.A.,Gift Shop,operating,33.8106109759686,-117.919125246926,,
disneyana,Disneyana,disneyland,Main Street U.S.A.,Boutique,operating,33.8101135330388,-117.918576410115,,
mad-hatter-main-street,The Mad Hatter (Main Street),disneyland,Main Street U.S.A.,Gift Shop,operating,33.8104451304484,-117.91851738352,,
candy-palace,Candy Palace & Candy Kitchen,disneyland,Main Street U.S.A.,Gift Shop,operating,33.8113207176016,-117.919103293654,,
crystal-arts,Crystal Arts,disneyland,Main Street U.S.A.,Boutique,operating,33.811183597456,-117.918872557173,,
disney-showcase,Disney Showcase,disneyland,Main Street U.S.A.,Boutique,operating,33.8105440423076,-117.918773735632,,
silhouette-studio,Silhouette Studio,disneyland,Main Street U.S.A.,Boutique,operating,33.8112188869936,-117.918882699309,,
20th-century-music,20th Century Music Company,disneyland,Main Street U.S.A.,Gift Shop,operating,33.8106422508844,-117.918876307124,,
new-century-jewelry,New Century Jewelry,disneyland,Main Street U.S.A.,Boutique,operating,33.8108621681124,-117.919076384968,,
fortuosity-shop,Fortuosity Shop,disneyland,Main Street U.S.A.,Gift Shop,operating,33.8109304580656,-117.919092667299,,
china-closet,The China Closet,disneyland,Main Street U.S.A.,Boutique,operating,33.8113032698276,-117.918876676363,,
disney-clothiers,"Disney Clothiers, Ltd.",disneyland,Main Street U.S.A.,Gift Shop,operating,33.8110573328072,-117.918862699559,,
plaza-point,Plaza Point (Disney Showcase),disneyland,Main Street U.S.A.,Gift Shop,operating,33.8114241042698,-117.918841547308,,
main-street-magic-shop,Main Street Magic Shop,disneyland,Main Street U.S.A.,Boutique,operating,33.8105869601993,-117.91886645334,,
penny-arcade,Penny Arcade,disneyland,Main Street U.S.A.,Gift Shop,operating,33.8112556158726,-117.919096601372,,
crystal-arcade,Crystal Arcade,disneyland,Main Street U.S.A.,Gift Shop,operating,33.8107890875894,-117.919094033564,,
market-house,Market House,disneyland,Main Street U.S.A.,Gift Shop,operating,33.8109060743132,-117.918876953576,,
adventureland-bazaar,Adventureland Bazaar,disneyland,Adventureland,Gift Shop,operating,33.8116797259584,-117.919927900608,,
pieces-of-eight,Pieces of Eight,disneyland,New Orleans Square,Gift Shop,operating,33.8111643042114,-117.92107488995,,
cristal-dorleans,Cristal d'Orleans,disneyland,New Orleans Square,Boutique,operating,33.8111101250011,-117.9213625211,,
mlle-antoinettes,Mlle. Antoinette's Parfumerie,disneyland,New Orleans Square,Boutique,operating,33.811130804809,-117.921466166593,,
la-mascarade,La Mascarade d'Orleans,disneyland,New Orleans Square,Boutique,operating,33.8110786076497,-117.92153178448,,
eudoras-chic-boutique,Eudora's Chic Boutique Featuring Tiana's Gourmet Secrets,disneyland,New Orleans Square,Boutique,operating,33.8110014205125,-117.921358354516,,
madame-leotas,Madame Leota's Somewhere Beyond,disneyland,New Orleans Square,Gift Shop,operating,33.811872573906,-117.922224333552,,
parasol-cart,Parasol Cart,disneyland,New Orleans Square,Cart/Kiosk,operating,33.8110731525332,-117.921267427983,,
portrait-artists,Portrait Artists,disneyland,New Orleans Square,Cart/Kiosk,operating,33.8110731525332,-117.921267427983,,
rays-berets,Ray's Berets,disneyland,Bayou Country,Gift Shop,operating,33.8123334728024,-117.92223167971,,
louis-critter-club,Louis' Critter Club,disneyland,Bayou Country,Gift Shop,operating,33.8121610966717,-117.923254533982,,
pooh-corner,Pooh Corner,disneyland,Bayou Country,Gift Shop,operating,33.8122722066723,-117.923227210084,,
pioneer-mercantile,Pioneer Mercantile,disneyland,Frontierland,Gift Shop,operating,33.8120032335635,-117.919815154943,,
westward-ho,Westward Ho Trading Company,disneyland,Frontierland,Gift Shop,operating,33.8122177851822,-117.919780482864,,
bonanza-outfitters,Bonanza Outfitters,disneyland,Frontierland,Gift Shop,operating,33.8120425811533,-117.919934418505,,
frontierland-shootin-exposition,Frontierland Shootin' Exposition,disneyland,Frontierland,Cart/Kiosk,operating,33.8121508731746,-117.919715728046,,
bibbidi-bobbidi-boutique,Bibbidi Bobbidi Boutique,disneyland,Fantasyland,Boutique,operating,33.8129538505035,-117.919176252056,,
small-world-toy-shop,It's a Small World Toy Shop,disneyland,Fantasyland,Gift Shop,operating,33.8144607287215,-117.918080649779,,
merlins-marvelous-miscellany,Merlin's Marvelous Miscellany,disneyland,Fantasyland,Gift Shop,operating,33.812940326509,-117.918908069362,,
fairy-tale-treasures,Fairy Tale Treasures,disneyland,Fantasyland,Gift Shop,operating,33.8125127392425,-117.919600925866,,
mad-hatter-fantasyland,The Mad Hatter (Fantasyland),disneyland,Fantasyland,Gift Shop,operating,33.8134448537143,-117.91860774401,,
le-petit-chalet,Le Petit Chalet,disneyland,Fantasyland,Cart/Kiosk,operating,33.813703040173,-117.917918507313,,
fantasy-faire-gifts,Fantasy Faire Gifts,disneyland,Fantasyland,Cart/Kiosk,operating,33.8142490361336,-117.918145116919,,
