id,name,park,land,status,duration,latitude,longitude
avengers-assemble,Avengers Assemble,californiaadventure,Avengers Campus,operating,20,,
world-of-color,World of Color,californiaadventure,Paradise Gardens Park,operating,25,,
disney-jr-mickey-mouse-clubhouse-live,Disney Jr. Mickey Mouse Clubhouse Live!,californiaadventure,Hollywood Land,operating,20,,
disney-junior-dance-party,Disney Junior Dance Party!,californiaadventure,Hollywood Land,operating,25,,
world-of-color-happiness,World of Color Happiness!,californiaadventure,Paradise Gardens Park,operating,22 min,,
hurry-home,Hurry Home -- A Lunar New Year Celebration,californiaadventure,Paradise Gardens Park,operating,8 min,,
mulans-lunar-new-year-procession,Mulan's Lunar New Year Procession,californiaadventure,Paradise Gardens Park,operating,15 min,,
operation-playtime,Operation: Playtime! - featuring the Green Army Patrol,californiaadventure,Hollywood Land,operating,20 min,,
amazing-spider-man,The Amazing Spider-Man!,californiaadventure,Avengers Campus,operating,10 min,,
warriors-of-wakanda,Warriors of Wakanda: The Disciplines of the Dora Milaje,californiaadventure,Avengers Campus,operating,20 min,,
guardians-dance-off,Guardians of the Galaxy: Awesome Dance Off!,californiaadventure,Avengers Campus,operating,20 min,,
paradise-garden-bandstand,Paradise Garden Bandstand,californiaadventure,Paradise Gardens Park,operating,25 min,,
paradise-garden-vocal-seoul,Paradise Garden Bandstand Presents Vocal Seoul,californiaadventure,Paradise Gardens Park,operating,25 min,,
paradise-garden-jie-ma,Paradise Garden Bandstand Presents Jie Ma,californiaadventure,Paradise Gardens Park,operating,25 min,,
paradise-garden-fortunes,Paradise Garden Bandstand Presents Fortunes,californiaadventure,Paradise Gardens Park,operating,25 min,,
paradise-garden-lac-hong,Paradise Garden Bandstand Presents Lac Hong Performing Arts Group,californiaadventure,Paradise Gardens Park,operating,25 min,,
five-and-dime,Five & Dime,californiaadventure,Buena Vista Street,operating,20 min,,
citizens-of-buena-vista-street,Citizens of Buena Vista Street,californiaadventure,Buena Vista Street,operating,,,
avengers-headquarters,Avengers Headquarters,californiaadventure,Avengers Campus,operating,,,
ancient-sanctum,Ancient Sanctum,californiaadventure,Avengers Campus,operating,,,
meet-disney-pals-bvs,Meet Disney Pals on Buena Vista Street,californiaadventure,Buena Vista Street,operating,,,
meet-radiator-springs,Meet the Residents of Radiator Springs in Cars Land,californiaadventure,Cars Land,operating,,,
meet-mickey-disney-friends,Meet Mickey Mouse and Disney Friends,californiaadventure,Hollywood Land,operating,,,
meet-mulan-mushu,Meet Mulan and Mushu,californiaadventure,Paradise Gardens Park,operating,,,
meet-red-panda-mei,Meet Red Panda Mei from Turning Red,californiaadventure,San Fransokyo Square,operating,,,
disney-visa-heroic-encounter,Disney Visa Cardmember Heroic Encounter,californiaadventure,Avengers Campus,operating,,,
mickey-meet-greet,Mickey & Friends Meet-and-Greet,disneyland,Mickey's Toontown,operating,15,,
tale-of-the-lion-king,Tale of the Lion King,disneyland,Fantasyland,operating,25,,
fantasmic,Fantasmic!,disneyland,Frontierland,operating,25,,
disney-visa-cardmember-star-wars-photo-opportunity,Disney® Visa® Cardmember Star Wars Photo Opportunity,disneyland,Tomorrowland,seasonal,240,,
believein-holiday-magic-fireworks-spectacular,"""Believe...In Holiday Magic"" Fireworks Spectacular",disneyland,Fantasyland,seasonal,15,,
dapper-dans,The Dapper Dans,disneyland,Main Street U.S.A.,operating,20,,
princess-meet-greet,Disney Princess Meet-and-Greet,disneyland,Fantasyland,operating,15,,
disneyland-forever,Disneyland Forever Fireworks,disneyland,Main Street U.S.A.,operating,15,,
main-street-electrical-parade,Main Street Electrical Parade,disneyland,Parade Route,seasonal,20,,
the-celebrate-happy-cavalcade,The Celebrate Happy Cavalcade,disneyland,Parade Route,operating,15,,
wondrous-journeys-fireworks,Wondrous Journeys with Fireworks,disneyland,"Main Street, U.S.A.",operating,18 min,,
wondrous-journeys-projections,Wondrous Journeys with Projections,disneyland,"Main Street, U.S.A.",operating,18 min,,
fire-of-the-rising-moons,Fire of the Rising Moons,disneyland,Star Wars: Galaxy's Edge,operating,15 min,,
shadows-of-memory,Shadows of Memory: A Skywalker Saga,disneyland,Star Wars: Galaxy's Edge,operating,12 min,,
tapestry-of-happiness,Tapestry of Happiness,disneyland,"Main Street, U.S.A.",operating,15 min,,
paint-the-night,Paint the Night,disneyland,"Main Street, U.S.A.",operating,20 min,,
storytelling-royal-theatre,Storytelling at Royal Theatre,disneyland,Fantasyland,operating,25 min,,
fantasy-faire,Fantasy Faire,disneyland,Fantasyland,operating,20 min,,
disneyland-band-main-street,"Disneyland Band at Main Street, U.S.A.",disneyland,"Main Street, U.S.A.",operating,20 min,,
disneyland-band-castle,Disneyland Band at Castle Promenade,disneyland,Fantasyland,operating,20 min,,
disneyland-band-frontierland,Disneyland Band at Frontierland,disneyland,Frontierland,operating,20 min,,
disneyland-band-small-world,"Disneyland Band at ""it's a small world"" Promenade",disneyland,Fantasyland,operating,20 min,,
bootstrappers,The Bootstrappers,disneyland,New Orleans Square,operating,20 min,,
jambalaya-jazz,Jambalaya Jazz,disneyland,New Orleans Square,operating,25 min,,
jambalaya-jazz-mark-twain,Jambalaya Jazz Band on the Mark Twain Riverboat,disneyland,Frontierland,operating,30 min,,
pearly-band-castle,Pearly Band at Castle Courtyard,disneyland,Fantasyland,operating,20 min,,
pearly-band-small-world,"Pearly Band near ""it's a small world""",disneyland,Fantasyland,operating,20 min,,
main-street-piano-player,Main Street Piano Player,disneyland,"Main Street, U.S.A.",operating,25 min,,
flag-retreat,Flag Retreat Ceremony,disneyland,"Main Street, U.S.A.",operating,10 min,,
princesses-royal-hall,Meet Disney Princesses at Royal Hall,disneyland,Fantasyland,closed,,,
mickeys-house,Mickey's House and Meet Mickey Mouse,disneyland,Mickey's Toontown,closed,,,
sweethearts-nite-characters,Character Encounters at Sweethearts' Nite,disneyland,"Main Street, U.S.A.",closed,,,
0,,lastShowtimeSync,,,,,
1,,lastShowtimeSync,,,,,
2,,lastShowtimeSync,,,,,
3,,lastShowtimeSync,,,,,
4,,lastShowtimeSync,,,,,
5,,lastShowtimeSync,,,,,
6,,lastShowtimeSync,,,,,
7,,lastShowtimeSync,,,,,
8,,lastShowtimeSync,,,,,
9,,lastShowtimeSync,,,,,
10,,lastShowtimeSync,,,,,
11,,lastShowtimeSync,,,,,
12,,lastShowtimeSync,,,,,
13,,lastShowtimeSync,,,,,
14,,lastShowtimeSync,,,,,
15,,lastShowtimeSync,,,,,
16,,lastShowtimeSync,,,,,
17,,lastShowtimeSync,,,,,
18,,lastShowtimeSync,,,,,
19,,lastShowtimeSync,,,,,
20,,lastShowtimeSync,,,,,
21,,lastShowtimeSync,,,,,
22,,lastShowtimeSync,,,,,
23,,lastShowtimeSync,,,,,
